c1,c2,c3,reward
1.0,0.0,0.0,-0.0008820646650035
0.9,0.0,0.0,0.001500253258981
1.1,0.0,0.0,-0.0035837560914695
1.0,-0.1,0.0,0.0019634326558044
1.0,0.1,0.0,-0.0040914301520102
1.0,0.0,-0.1,-0.00195149120751
1.0,0.0,0.1,-7.971650921102691e-05
1.3,0.2,0.1,-0.0171236799076077
0.9,-0.1,0.0,0.0042143726045734
1.1,-0.1,0.0,-0.0004407220225638
1.0,-0.2,0.0,0.0045713726838633
1.0,-0.1,-0.1,0.0011609630923843
1.0,-0.1,0.1,0.0025954979573299
0.8,-0.1,-0.0,0.0064488725764795
0.7,-0.1,-0.0,0.0086833726543999
0.8,-0.2,-0.0,0.0090403726198766
0.8,0.0,-0.0,0.0038326162922411
0.8,-0.1,-0.1,0.0058095383460165
0.8,-0.1,0.1,0.007080372674002
1.0,-0.1,0.2,0.0031751025846068
0.7,-0.2,-0.0,0.0112748726057174
0.9,-0.2,-0.0,0.006805872527846
0.8,-0.3,-0.0,0.0116318726549594
0.8,-0.2,-0.1,0.0084088726790015
0.8,-0.2,0.1,0.0096718726321712
0.7,-0.4,-0.2,0.0147919973662435
0.8,-0.4,-0.2,0.0129603725472176
0.7,-0.5,-0.2,0.0173651074528053
0.7,-0.3,-0.2,0.0126033725680066
0.7,-0.4,-0.3,0.014563372510833
0.7,-0.4,-0.1,0.0151429542712958
0.9,-0.6,-0.4,0.0145980145487573
0.8,-0.5,-0.2,0.01555187234454
0.7,-0.6,-0.2,0.0198119073752275
0.7,-0.5,-0.3,0.0170097601047929
0.7,-0.5,-0.1,0.0177077836569915
0.9,-0.5,-0.3,0.0126858727299067
0.8,-0.6,-0.2,0.0174638180652073
0.7,-0.6,-0.3,0.0185227417676558
0.7,-0.6,-0.1,0.0197977137477795
0.7,-0.4,0.1,0.0165115783260375
0.7,-0.3,-0.4,0.0113335714326816
0.9,-0.6,-0.2,0.0159088725303819
0.7,-0.6,-0.4,0.0172388626175472
0.9,-0.3,-0.2,0.0081343725634803
0.7,-0.5,-0.5,0.0149373897286711
0.7,-0.6,0.0,0.0209091312039787
0.8,-0.6,0.0,0.0186886684666381
0.7,-0.5,0.0,0.018373685545109
0.7,-0.6,0.1,0.0213824647270205
0.7,-0.4,0.2,0.016688245926447
0.8,-0.6,0.1,0.0193317577273135
0.7,-0.5,0.1,0.0191008082277606
0.7,-0.6,0.2,0.0214523009986075
0.8,-0.6,0.2,0.0189341179698539
0.7,-0.5,0.2,0.0190678920448885
0.7,-0.6,0.3,0.0214485780473261
0.7,-0.5,0.4,0.0203873380115435
0.9,-0.6,0.3,0.0186665537481651
0.7,-0.6,0.4,0.0219289800803542
0.8,-0.6,0.4,0.0198206295708886
