c1,c2,c3,reward,return,std,lambda,Sortino (MAR)
1.0,0.0,0.0,0.7496166700910921,1.6434292901848635,0.027195299227242394,23.44096933397724,-3.4628206487162903
0.9,0.0,0.0,0.05851663816723097,1.5556082987274318,0.027771840998764133,24.51715867162293,-3.4627701729066964
1.1,0.0,0.0,0.8722992104314886,1.66846226247799,0.024524004705129606,12.939864239519256,-3.4630590191043233
1.0,-0.1,0.0,0.24441163626635523,1.5886100702789923,0.02503319309302728,20.617826020340452,-3.463018485453946
1.0,0.1,0.0,1.172844583320544,1.738060379438193,0.02497520929119506,22.52054928519675,-3.4630176116323326
1.0,0.0,-0.1,0.6018939844612393,1.646073210903727,0.026104512315478896,14.465707541495167,-3.462921250232298
1.0,0.0,0.1,0.3753968307706412,1.6260474546426922,0.02624033150902794,14.867676809394258,-3.462909807096653
0.9,-0.0,-0.1,-0.052967204997847135,1.5329414859229984,0.028421020767259594,18.95935609117314,-3.462708421587667
0.9,0.1,0.0,0.585025695363683,1.6551734250047885,0.027597985813712637,14.518603735283985,-3.4627818608770604
1.1,0.1,0.0,1.0225732138653756,1.7017418998751583,0.02620726806929455,23.903083531948678,-3.462909534588891
1.0,0.2,0.0,0.6457956266424562,1.6782239499387424,0.026124838032887152,10.623991361520147,-3.462918024104881
1.0,0.1,-0.1,0.467515769889222,1.644076997787722,0.023746930569217933,20.211552255405696,-3.4631249230783063
1.0,0.1,0.1,1.0490681010618181,1.7269462286634591,0.02694092146233665,15.342115615362424,-3.4628407186006793
0.9,0.2,-0.1,0.5254480989784432,1.656803161808247,0.026747532392796647,18.274108025091593,-3.462861887431884
0.9,0.2,0.2,1.0101060539743099,1.7905928207154962,0.024979071154557008,15.343689363600447,-3.4630153115237383
0.9,0.3,0.3,1.202522034874742,1.7743564576324709,0.026165015757042304,11.497924882507844,-3.462910351840854
0.8,0.3,0.3,1.8545356074127273,1.8703565426645723,0.02960265286316621,20.436139896916153,-3.4625717911030116
1.0,0.3,0.3,1.322102814391745,1.856747184530652,0.02735340982777911,23.12237244443986,-3.4627960667684996
0.9,0.2,0.3,0.7552360456403895,1.708560423798074,0.027354003015423116,19.756621141476927,-3.4628025932888176
0.9,0.4,0.3,1.6064301759276174,1.866812015386735,0.028639629142168662,21.727594166986112,-3.462669894061273
0.9,0.3,0.2,1.1062249109560878,1.7884640667005778,0.02650317477715002,21.472493073340544,-3.4628787749108487
0.9,0.3,0.4,1.9803571454756803,1.9078047432070964,0.026489037929115403,21.189628768566635,-3.46287525116507
1.0,0.5,0.1,1.0464178322166457,1.689601915679929,0.029330598419067554,22.36377605857831,-3.462609051449273
0.8,0.3,0.4,1.5456103182248064,1.8864809175032697,0.02873159314721725,21.34002324109057,-3.4626597617563926
1.0,0.3,0.4,2.006148048708593,1.9101221737691005,0.02690208846058135,11.152146341329024,-3.462836609187263
0.9,0.2,0.4,1.5737672101375046,1.85439296184134,0.02761207292604594,14.283468726830026,-3.4627713520597814
0.9,0.4,0.4,1.849619779638224,2.022983726408873,0.030106194972256008,22.39234293959954,-3.4625116831566927
0.9,0.3,0.5,1.2223863337513363,1.8603142901550316,0.02832417500534284,15.81700561575075,-3.462701562681664
1.0,0.3,0.5,1.4237213754050293,1.8741935716107567,0.029427865339120982,23.43520736251053,-3.4625896171701562
1.1,0.3,0.4,1.740924802195807,1.7911524914861359,0.028309445151393074,23.28875439298979,-3.462706243437841
1.0,0.2,0.4,1.2172564606050114,1.7539884849072773,0.026817188128677585,10.082322954860546,-3.462851099543699
1.0,0.4,0.4,1.624767218859522,1.8696963023824187,0.027047856944192487,11.669435980026444,-3.4628245297088918
1.2,0.1,0.1,1.2688553195660692,1.7170318620790423,0.02641354042743802,19.847303237049154,-3.4628900248090493
1.1,0.3,0.6,1.3312225653952316,1.8228427308233974,0.02993025531437116,20.595057390839756,-3.462540176979269
1.3,0.6,0.2,0.5385953819719405,1.6539725019602174,0.03402900455870334,21.07893761767129,-3.4620950040580607
0.9,0.0,0.5,2.528240778985178,1.9214685673657539,0.026620438097287084,17.983060854872235,-3.4628625068630714
0.8,0.0,0.5,1.238070430852435,1.8209988541517217,0.026110982996318782,16.76143398636206,-3.4629133908139007
1.0,0.0,0.5,1.327070362646767,1.785274578184171,0.0276621109933462,18.140969049446404,-3.4627696048136043
0.9,-0.1,0.5,1.688916777445659,1.8227908490657818,0.028659127304172798,16.471091656607804,-3.462670013362495
0.9,0.1,0.5,1.8841816360594987,1.8926708346115753,0.02725614834671012,18.498507264663182,-3.4628038084899706
0.9,0.0,0.4,0.82248824717283,1.7211560383779965,0.0292615840599917,16.333086792840447,-3.4626143829308242
0.9,0.0,0.6,1.8169531310160605,1.8679987643137308,0.02757294730630057,14.734423692022652,-3.462774517437083
0.8,0.1,0.4,0.9099120793057321,1.751434190283575,0.02737777561916299,24.729868676267767,-3.4627983740812343
0.8,-0.0,0.6,1.3885479449244778,1.754689853717724,0.027491065791581615,19.59612648484169,-3.462787406519543
1.0,-0.1,0.6,1.7970286786654293,1.875005632528369,0.02780433735039643,24.12991067084792,-3.462751832897011
0.7,0.1,0.6,0.9599840007090008,1.68248669479622,0.02719336941993306,19.651803282207688,-3.462819001782632
1.0,0.1,0.6,1.5892546181651825,1.9175153587712688,0.029961930574630282,21.40828323359254,-3.462532025648321
0.9,0.2,0.6,1.6819943819079541,1.9884733926710971,0.02843650883331272,14.79159630547229,-3.4626846766434825
