c1,c2,c3,reward,return,std
1.0,0.0,0.0,1.0668478994425254,1.3770849672805876,0.05374992209498367
0.9,0.0,0.0,0.674527935487774,1.330604285928354,0.052591698856159844
1.1,0.0,0.0,0.3525255643296084,1.2999844194650751,0.056204311386540994
1.0,-0.1,0.0,0.9113486865294232,1.3780937055813918,0.05291102693027147
1.0,0.1,0.0,0.40116440446889884,1.3106898779862297,0.052313891763907154
1.0,0.0,-0.1,0.9246225097900531,1.3729162428096724,0.05373954907143092
1.0,0.0,0.1,0.1875518411326277,1.2707424308311213,0.05504028259047793
1.1,0.0,-0.1,0.13108074416813553,1.2440273319295696,0.05903824650543769
1.0,-0.1,-0.1,0.33739569362907995,1.2889859189100006,0.052844366426737635
0.9,-0.0,-0.1,0.12070904728726978,1.2509148770816487,0.05252789438104374
0.9,-0.1,-0.1,0.4651776746201426,1.3035921620401791,0.05253138695458314
1.0,0.1,-0.1,0.25791194628951086,1.2738805160075117,0.05611421573230875
0.9,0.1,0.1,0.01944714657640734,1.2380460213376616,0.05210840302404123
0.9,0.1,-0.1,-0.04686678805125392,1.2171199336550944,0.05585850530043193
0.9,0.1,-0.0,0.31166389417672924,1.2953405364569446,0.05313706465501483
1.0,0.1,0.1,-0.03067386381017586,1.228499244701819,0.051937226990917434
1.0,-0.1,0.1,0.5775440324951465,1.3270564185182225,0.05332136092014547
1.1,-0.1,0.0,0.6174380975058417,1.3262404009066437,0.05371471178092735
1.1,-0.1,-0.1,0.7587781762808766,1.3360400989383494,0.05591354260905595
0.9,0.0,0.1,0.2456024618366912,1.2851839313732834,0.05217261661633321
1.1,0.1,-0.0,0.3027465907639105,1.280078343938411,0.055189737219691566
1.1,0.1,-0.1,0.12857818245786493,1.2433690193266038,0.05708297342134927
1.1,-0.1,0.1,0.47791737974183196,1.3197516531262015,0.054752545664847774
1.1,-0.0,0.1,0.25612171174786685,1.2808691386765114,0.05526364075669204
0.9,-0.1,0.0,0.3372619808027161,1.293309672196623,0.0513507413587506
0.9,-0.1,0.1,0.42071405011739227,1.3069103284737413,0.054389716796004066
1.1,0.1,0.1,-0.05306754194793259,1.2235933862248909,0.05263954546639041
