c1,c2,c3,reward,Lambda,MAR
1.0,0.1,-0.6,0.006740951509555216,100.0,-0.0011582386313045221
0.9,-0.1,-0.6,-0.0041603651062959175,100.0,-4.668432291694386e-06
1.1,-0.1,-0.1,0.024370979089884642,100.0,-7.200026457526751e-06
1.3,-0.0,-0.1,0.020870027479571358,100.0,-3.0727233951478027e-06
1.3,0.2,-0.3,0.009805706183079677,100.0,-4.385008488788338e-06
1.2,-0.0,-0.5,0.02817046555310103,100.0,-6.120360336396322e-06
1.3,0.2,-0.4,-0.007780487399596987,100.0,-2.4972868786534472e-06
1.3,0.0,-0.4,0.03612525638872413,100.0,-8.486402172322539e-06
1.2,-0.1,-0.6,0.019656689038620473,100.0,-3.107201973966223e-06
1.2,0.2,-0.4,0.023829636086642594,100.0,-3.6314856989048932e-06
