c1,c2,c3,reward,return,std,lambda,Sortino (MAR)
1.0,0.0,0.0,0.015400693849013776,1.2812982578918994,0.12278119751016531,12.795411598207153,2.0681868971475814
0.9,0.0,0.0,0.005045066775070851,1.2505085984277124,0.11513152257621052,14.634937494106223,1.9010566105790117
1.1,0.0,0.0,0.002436213963522485,1.2350060385776491,0.1330994897822202,12.499907655679237,1.7894445029303683
1.0,-0.1,0.0,0.00038472733601723017,1.221001206506706,0.12065369309309606,10.757851880650344,1.5714955944872648
1.0,0.1,0.0,0.007133171516916214,1.2634633501378643,0.1257272579643553,20.662811755251475,1.8850972051154689
1.0,0.0,-0.1,0.0032095231961729092,1.2418762715555407,0.11182294401947461,11.96391517165077,1.9777043916744583
1.0,0.0,0.1,-0.012700451433113553,1.1904623175543465,0.11949062580758842,11.938242297289351,1.5680098481734808
0.8,-0.0,-0.2,0.01229063480494589,1.3074678006883729,0.1025097201854988,18.62213740462789,2.661460508732258
1.1,0.1,0.2,-0.004748421443677599,1.2236647139269345,0.13709749740232832,12.904603336168114,1.7347549100952921
1.1,-0.3,0.1,-0.019805781290120755,1.17315940674362,0.13130851438938415,17.067092581444587,1.4675465794225957
1.2,-0.1,0.1,-0.021882124078573758,1.2052040854283763,0.15219353931002236,20.48626587137853,1.622842715932558
1.0,0.1,-0.2,0.022015548162214384,1.3007266838324203,0.12984528103693582,12.01225344115825,2.1360188301751624
0.9,0.1,-0.2,0.03931255135069661,1.3690417712870826,0.11370652320034291,12.237383532487733,2.7922013802239523
1.1,0.1,-0.2,0.0443027278353517,1.377204156348498,0.12979016146551273,16.608378991359498,2.4531909670981187
1.0,0.0,-0.2,0.02522916276346574,1.3084006116893683,0.12017164339154174,10.163923542423932,2.0706621108957526
1.0,0.2,-0.2,0.02262846300579696,1.3146362299430097,0.13140766869851025,17.01748830617307,2.0559203752313215
1.0,0.1,-0.3,0.03511664053176948,1.3443164662641705,0.1244231288542659,15.702573988935484,2.3989331399397
1.0,0.1,-0.1,0.01670084338329163,1.2858403461901133,0.12209739143085516,11.963530712469268,2.1317290608731017
0.8,0.4,0.1,0.026104824510304,1.33268325245971,0.10798608718785765,10.049854551918978,2.6969067343401725
1.2,0.1,-0.2,0.004551064068787056,1.237238821842048,0.1299084100631372,10.270116939733231,1.657597224436597
1.1,0.0,-0.2,0.032798359336520755,1.3358456924922912,0.13307627814600767,20.026276257999477,2.2821251193710137
1.1,0.2,-0.2,0.007487882663963345,1.2593015700796595,0.12675236559224007,19.480541469504995,1.8743691802139248
1.1,0.1,-0.3,0.05261111499691548,1.415471437111144,0.13140278417129286,21.233291323246952,2.6130170836052824
1.1,0.1,-0.1,0.024115517996340617,1.3010067590778933,0.12895350038352638,10.710385359778366,2.1040429473846167
1.3,0.3,-0.0,-0.03422286478219863,1.1715415629230779,0.1499086553648346,21.315639808342784,1.4089917116897295
1.2,0.1,-0.3,0.02031011291589562,1.3214834287694175,0.14317171908706355,18.963539768194096,2.1302207219772757
1.1,0.0,-0.3,0.028884514884205587,1.329433414372017,0.1395805360092638,17.28628764002916,2.331596438808575
1.1,0.2,-0.3,0.027302668961834912,1.3228278911233897,0.13651832887283274,15.0905260319646,2.1486777657371436
1.1,0.1,-0.4,0.05881028944426439,1.4307525756715087,0.1348066453564111,14.447725685515387,2.8411099023020694
0.9,-0.1,-0.2,0.008216644044187427,1.264754746530739,0.1035881006218572,14.509162075304502,2.1801159176815617
1.0,0.1,-0.4,0.02253193343205761,1.3158076314500644,0.11651643812033026,20.338902619141432,2.1847891079004595
1.2,0.1,-0.4,0.03905710746329305,1.3582307157077118,0.1351812560772771,14.178377347430535,2.3756761919761304
1.1,0.0,-0.4,0.05168184678736998,1.4118808182500022,0.13112651576400852,21.67683212557304,2.801200380528371
1.1,0.2,-0.4,0.04877956068072975,1.4007868810412099,0.13804663799416694,18.609716987890106,2.5014143122579093
1.1,0.1,-0.5,0.033174308167324716,1.3506399875979558,0.13437875494940218,21.357580788985842,2.327650139283432
1.2,-0.1,-0.3,0.019376797121916,1.3145023010962664,0.13514218448456558,16.14718984230568,2.3563008616147405
1.2,0.3,-0.2,0.0011281249300892262,1.23561457881454,0.13636017432649858,14.128634964800689,1.6512927909815303
1.2,0.4,-0.1,0.004658760794316581,1.2597320768537068,0.13695931681451184,19.968564239275853,1.843758022076482
0.9,0.3,-0.2,0.017035149628070373,1.3112321402169853,0.11735296545348171,16.858813533230375,2.5759032270431033
1.2,0.1,-0.6,0.015230402175568699,1.2902269106837727,0.1269554085126975,11.195800730946585,2.293001124262157
1.0,0.2,-0.1,0.011552025675653735,1.2766109320339176,0.11991012904572226,17.662294066796324,2.1269375165411963
1.3,0.1,-0.3,0.031697440435221734,1.338627979566632,0.14799441191644608,11.016386051968281,2.4155292191596196
1.3,-0.1,-0.3,0.036927991329929424,1.3564724885341577,0.13351995296158792,15.308803881237331,2.5325913152171573
1.1,0.2,-0.6,0.024271911208996286,1.3182429782899665,0.13177314517776773,16.956514273619085,2.1684297440898885
1.3,0.3,-0.4,0.030024205353653487,1.3465611125542816,0.13869301571780637,15.544394652236118,2.3609384632773986
1.0,0.1,-0.5,0.05298131643157469,1.4211355637020053,0.11896581565036406,19.504024464774,2.7498698455830817
0.9,0.2,-0.5,0.040916870903855644,1.3916278568569578,0.12008161216493099,17.634420785024986,3.052652185245313
1.3,0.0,-0.2,0.01519356306883269,1.3067542448500196,0.1610686462352891,16.999151546670916,2.297037001264837
0.8,-0.0,-0.3,0.014500367569082302,1.290619785836048,0.10719984417980354,14.920822557731045,2.518468762696305
1.2,0.3,-0.1,-0.0022768983846288625,1.2188421616935077,0.13830101292093694,12.297743170048768,1.643259717696791
1.3,0.1,-0.1,0.007042734642396128,1.2735659555845837,0.14717930147287697,13.907746613699414,1.929403434305243
1.3,-0.2,-0.2,0.024465723542523934,1.3021799969467527,0.13021097389261221,10.122349999481141,1.9896038804080738
0.9,0.2,-0.3,0.029718388984167732,1.3548160983462867,0.1092346324712823,18.286251754603516,2.693121627540404
1.3,-0.1,-0.6,0.03720136964445249,1.3829141040145367,0.1364620673662336,16.91633721136696,2.7117054241976426
1.2,0.2,-0.5,0.022452338683903034,1.3175113704130448,0.13137258850372965,21.933816028950236,2.119162161317765
1.2,0.4,-0.5,0.010649520126382074,1.2692712377194837,0.1314663204535604,11.486465881664383,1.9634930626240619
1.0,0.0,-0.4,0.040054098690583906,1.3657660445063997,0.11831811505109663,9.630724024143062,2.7566366815094137
0.9,-0.1,-0.3,0.03898295584089296,1.3687535253942897,0.11035938403358156,19.192244692288877,2.624688108461057
1.0,-0.2,-0.4,0.06321710964068257,1.4587414296765906,0.11872992048616994,14.00323577385386,3.0503241038319344
0.9,-0.2,-0.4,0.06189962453495908,1.4544919225139328,0.10956423841948151,13.505018235796086,3.549642539790638
1.1,-0.2,-0.4,0.04227264171084133,1.3704334802046747,0.1213511083560665,11.417128293222996,2.778187898631183
1.0,-0.3,-0.4,0.03884824664982256,1.3614788783567269,0.11585835500521169,11.554868099660224,2.656466671819096
1.0,-0.1,-0.4,0.0200601218843369,1.2996307930490745,0.12066405413087535,10.84763237932624,2.337859697387773
1.0,-0.2,-0.5,0.06305150469678081,1.454065427881074,0.11985556220011906,11.901083806919356,3.2679613094916986
1.0,-0.2,-0.3,0.04909431886185703,1.401287349601889,0.12822270369833455,18.603029676131655,2.5819739937160633
0.9,0.1,-0.6,0.07817519022036643,1.5169101132567515,0.13105314541056742,15.429788276255982,3.229849558461666
0.8,0.1,-0.6,0.045303040791384176,1.396814804399671,0.11191211040080083,19.24670562116754,3.0777208975312447
1.0,0.1,-0.6,0.03266099516849044,1.3448712312811903,0.12197586076927583,11.164451390564846,2.569079460693346
0.9,0.0,-0.6,0.07317388822570953,1.4998049985228858,0.11534680196494575,19.13136020060781,3.6311274269980025
0.9,0.2,-0.6,0.055546831563402066,1.438195487164008,0.12427592965598658,22.048925662931012,3.0080389620105956
0.9,0.1,-0.5,0.05925697864465981,1.44064745792142,0.12292303081129231,11.893558374796388,2.9986840223466156
0.8,0.4,-0.5,0.017626385575270888,1.3124299258135548,0.11911884393209478,15.42901221391605,2.4641322749071604
0.9,0.1,-0.4,0.023651563475562465,1.320570141008714,0.10931292555749549,16.245807453458198,2.451233051498773
0.8,0.3,-0.6,0.035345302422774,1.358459475359015,0.1189641108522469,10.519233920042883,2.7253966670989147
0.7,-0.2,-0.6,0.05685528133929289,1.44798886744951,0.11101698556126595,15.238958029553226,3.852560981510447
