Date,SP_500,Optimized Portfolio
2019-08-01,1.0,1.0
2019-09-01,0.981908,1.0147600000234132
2019-10-01,0.9987781613479999,1.0059620307129518
2019-11-01,1.0191851967406622,1.0279836415558121
2019-12-01,1.0538853951340914,1.0732457614068647
2020-01-01,1.0840159785809749,1.0893981101183352
2020-02-01,1.082251200567845,1.1264015655153345
2020-03-01,0.9912230520880836,1.0421354642797618
2020-04-01,0.8672022150338746,0.9482703233030094
2020-05-01,0.9772016127976314,1.035416366451195
2020-06-01,1.0214512562283338,1.1085478242367706
2020-07-01,1.0402337019278605,1.1352083994367517
2020-08-01,1.0975516191377876,1.2340169382917452
2020-09-01,1.1744515733326768,1.3372369543257392
2020-10-01,1.1283801870139825,1.3065607385569173
2020-11-01,1.0971624207600537,1.21387307830331
2020-12-01,1.2151578504631142,1.390722247743828
2021-01-01,1.2602657250301554,1.4532213058747492
2021-02-01,1.2462301456504947,1.3774439091977282
2021-03-01,1.278745536380662,1.3450326542056736
2021-04-01,1.3330142181991207,1.3575280077470544
2021-05-01,1.4028974885882095,1.3913983316288034
2021-06-01,1.410595187108093,1.3741728204029289
2021-07-01,1.4419301485945122,1.4291397329086029
2021-08-01,1.47473117561474,1.4277963419328592
2021-09-01,1.5174836323958114,1.460135929060033
2021-10-01,1.445298453486375,1.3985181933200697
2021-11-01,1.545232169754237,1.4585705646127844
2021-12-01,1.5323542048515053,1.4317912093123137
2022-01-01,1.5991847687876939,1.4920123474946
2022-02-01,1.515091637720993,1.4046997848450942
2022-03-01,1.467576848870425,1.389191899311423
2022-04-01,1.5200764754850669,1.4267973237002534
2022-05-01,1.386375108930827,1.3492366216109715
2022-06-01,1.3864485868116003,1.3900375373704208
2022-07-01,1.2700978214063707,1.247419685925499
2022-08-01,1.3858240545016336,1.3165766327369448
2022-09-01,1.3270096816285841,1.273669400304877
2022-10-01,1.2030722854032008,1.1868815669281454
2022-11-01,1.2991532473323566,1.283137661587641
2022-12-01,1.3689866318362127,1.3197969044373663
2023-01-01,1.2882561211701995,1.2700405612331567
2023-02-01,1.3678098014208229,1.3005088343683604
2023-03-01,1.3320935518861223,1.2767225278714351
2023-04-01,1.3787860950668347,1.2938447192969889
2023-05-01,1.3989742810708032,1.3293736953356723
2023-06-01,1.402446535236421,1.3732202238720022
2023-07-01,1.493224094569204,1.450065627207005
2023-08-01,1.5397215996499944,1.5158116037808145
2023-09-01,1.5124438917905951,1.4881025676994655
2023-10-01,1.4387591378264493,1.4495636946702055
2023-11-01,1.407135211977024,1.3740269303578638
2023-12-01,1.532622123045923,1.494295507381194
2024-01-01,1.6004084669261212,1.5107916584657666
2024-02-01,1.6258485599163786,1.5542420265446815
2024-03-01,1.7099390732838133,1.656371270308755
2024-04-01,1.7629796733980039,1.7100045721693076
2024-05-01,1.689613274289546,1.6652537521754511
2024-06-01,1.7707501933342045,1.7460352115197249
2024-07-01,1.8321421025371012,1.8043705071835558
2024-08-01,1.8528837832799236,1.716172876553561
2024-09-01,1.8951943844711205,1.7559194402126468
2024-10-01,1.9334716254542839,1.787393852394625
2024-11-01,1.9143360567771628,1.7915763537241256
2024-12-01,2.024029427166551,1.8474556204048955
2025-01-01,1.973448931781659,1.8008512913434687
2025-02-01,2.0264486693366743,1.8482857145673937
2025-03-01,2.0007232566987887,1.7982711032278327
2025-04-01,1.8835783475794128,1.6883607735707704
2025-05-01,1.8672474246352053,1.705362566538736
2025-06-01,1.9845943657910046,1.8123058527954041
2025-07-01,2.080424895067735,1.8956356762058966
2025-08-01,2.1283401597061,1.9419270996075038
2025-09-01,2.172012751579578,1.9045184437917704
2025-10-01,2.24316170040661,1.9883934360032596
2025-11-01,2.2966328460466126,2.033887878055618
2025-12-01,2.301111222853993,2.033257372647989
2026-01-01,2.2961614379616253,2.048384807685557
2026-02-01,2.330001804062509,2.050289805865159
2026-03-01,2.3098659444323313,2.048752088292871
2026-04-01,2.1898252427908895,2.03309117288036
2026-05-01,2.4198723882647544,2.2039928165270553
2026-06-01,2.5472199152235016,2.3324194775886413
2026-07-01,2.514524397329016,2.3521517470857938
2026-08-01,2.5153998694868496,2.3302061710426685
