Date,SP_500,Optimized Portfolio
2019-08-01,1.0,1.0
2019-09-01,0.981908,1.0001199999894672
2019-10-01,0.9987781613479999,0.9982097707758076
2019-11-01,1.0191851967406622,1.018573250040248
2019-12-01,1.0538853951340914,1.0592143227995576
2020-01-01,1.0840159785809749,1.0814578235352321
2020-02-01,1.082251200567845,1.1115331656290794
2020-03-01,0.9912230520880836,1.0260340344750927
2020-04-01,0.8672022150338746,0.9670370776912743
2020-05-01,0.9772016127976314,1.1229621355588988
2020-06-01,1.0214512562283338,1.2022769510854536
2020-07-01,1.0402337019278605,1.2408940866839437
2020-08-01,1.0975516191377876,1.3465729170074299
2020-09-01,1.1744515733326768,1.5081326151960375
2020-10-01,1.1283801870139825,1.4457496445591178
2020-11-01,1.0971624207600537,1.3454708073943373
2020-12-01,1.2151578504631142,1.5593603025722556
2021-01-01,1.2602657250301554,1.66790737393781
2021-02-01,1.2462301456504947,1.575368453979423
2021-03-01,1.278745536380662,1.657681456342083
2021-04-01,1.3330142181991207,1.7133298229784915
2021-05-01,1.4028974885882095,1.79726585041284
2021-06-01,1.410595187108093,1.879113337524688
2021-07-01,1.4419301485945122,1.8868928668051215
2021-08-01,1.47473117561474,1.8599480365990877
2021-09-01,1.5174836323958114,1.930365668996298
2021-10-01,1.445298453486375,1.869906615820478
2021-11-01,1.545232169754237,2.0245665922746743
2021-12-01,1.5323542048515053,1.9561767328827941
2022-01-01,1.5991847687876939,2.0638055764517196
2022-02-01,1.515091637720993,1.997062104401941
2022-03-01,1.467576848870425,1.9655484643132293
2022-04-01,1.5200764754850669,2.0187558611203116
2022-05-01,1.386375108930827,1.8015579177587129
2022-06-01,1.3864485868116003,1.8687920593029186
2022-07-01,1.2700978214063707,1.6841740921305624
2022-08-01,1.3858240545016336,1.7534610144659435
2022-09-01,1.3270096816285841,1.6997246056980355
2022-10-01,1.2030722854032008,1.5846572243891448
2022-11-01,1.2991532473323566,1.750871919924411
2022-12-01,1.3689866318362127,1.8159868467765223
2023-01-01,1.2882561211701995,1.7290010767233726
2023-02-01,1.3678098014208229,1.7339821650135798
2023-03-01,1.3320935518861223,1.7163995858969976
2023-04-01,1.3787860950668347,1.7509335452493988
2023-05-01,1.3989742810708032,1.7720848226104802
2023-06-01,1.402446535236421,1.8512792932990374
2023-07-01,1.493224094569204,1.9668361466757358
2023-08-01,1.5397215996499944,2.0251331699009376
2023-09-01,1.5124438917905951,1.9886605215318591
2023-10-01,1.4387591378264493,1.8545054831221899
2023-11-01,1.407135211977024,1.7561239671114697
2023-12-01,1.532622123045923,1.987071829469429
2024-01-01,1.6004084669261212,2.036271727948975
2024-02-01,1.6258485599163786,2.1025200479083965
2024-03-01,1.7099390732838133,2.1911445777854857
2024-04-01,1.7629796733980039,2.2572752267838148
2024-05-01,1.689613274289546,2.135991828946661
2024-06-01,1.7707501933342045,2.2846782199684332
2024-07-01,1.8321421025371012,2.4156373566496123
2024-08-01,1.8528837832799236,2.6143959989133805
2024-09-01,1.8951943844711205,2.7083645330962245
2024-10-01,1.9334716254542839,2.735691931278863
2024-11-01,1.9143360567771628,2.71842971389529
2024-12-01,2.024029427166551,2.9155430512048817
2025-01-01,1.973448931781659,2.750669091985053
2025-02-01,2.0264486693366743,2.83019037330092
2025-03-01,2.0007232566987887,2.741435603042862
2025-04-01,1.8835783475794128,2.5484111223248007
2025-05-01,1.8672474246352053,2.594104134204038
2025-06-01,1.9845943657910046,2.808065843232951
2025-07-01,2.080424895067735,2.952484669910943
2025-08-01,2.1283401597061,3.0276549290677326
2025-09-01,2.172012751579578,2.9924735780535308
2025-10-01,2.24316170040661,3.1046015624405134
2025-11-01,2.2966328460466126,3.215404791141473
2025-12-01,2.301111222853993,3.1798745686782066
2026-01-01,2.2961614379616253,3.1609225165289363
2026-02-01,2.330001804062509,3.2930806866269338
2026-03-01,2.3098659444323313,3.3070104174293338
2026-04-01,2.1898252427908895,3.249203875136433
2026-05-01,2.4198723882647544,3.6229597964313487
2026-06-01,2.5472199152235016,3.875951079126261
2026-07-01,2.514524397329016,3.82866447454935
2026-08-01,2.5153998694868496,3.735819359428963
