Date,SP_500,Optimized Portfolio
2021-04-01,1.0,1.0
2021-05-01,1.052425,1.0713199998302168
2021-06-01,1.058199655975,1.0901538054937183
2021-07-01,1.0817065031328286,1.097890404557505
2021-08-01,1.1063131626660943,1.0822784031688926
2021-09-01,1.1383851812517845,1.1244980834579577
2021-10-01,1.0842333365648182,1.0662490825486544
2021-11-01,1.1592015663882562,1.1360564097662031
2021-12-01,1.1495407805339766,1.1025313852181624
2022-01-01,1.1996757025954048,1.1346370992362291
2022-02-01,1.1365907557744255,1.031975134201317
2022-03-01,1.1009461330825838,1.0084461013825716
2022-04-01,1.1403302791013472,1.030591577744271
2022-05-01,1.04003024874243,0.8887100360001239
2022-06-01,1.0400853703456134,0.8945399737778789
2022-07-01,0.9528014060662096,0.775145723700419
2022-08-01,1.0396168589813384,0.7951832407673809
2022-09-01,0.9954955194861703,0.774396656573002
2022-10-01,0.9025202199482399,0.7103230769911507
2022-11-01,0.9745981922739663,0.7792244153695939
2022-12-01,1.0269857689032686,0.8042686879723372
2023-01-01,0.966423391125274,0.7623320088769129
2023-02-01,1.0261029347974329,0.7782723711009906
2023-03-01,0.9993093349640023,0.7699526393815113
2023-04-01,1.0343371257731606,0.7918423931734975
2023-05-01,1.0494818899687313,0.7827362055688545
2023-06-01,1.0520867040196338,0.7978038779832
2023-07-01,1.1201861721974165,0.8538256665031028
2023-08-01,1.1550676494134717,0.8884824502727645
2023-09-01,1.1346044709364627,0.8637826381278871
2023-10-01,1.0793276757169092,0.7975363583695856
2023-11-01,1.0556040534046516,0.7586387245896576
2023-12-01,1.1497417672832249,0.8596818155588601
2024-01-01,1.2005936959083947,0.8791708023330543
2024-02-01,1.2196783332985544,0.9163948941758968
2024-03-01,1.2827613163750888,0.9806433404207687
2024-04-01,1.3225512896477276,1.0145539870695854
2024-05-01,1.2675133177290374,0.9643538552637223
2024-06-01,1.3283805747597037,1.0208898596630105
2024-07-01,1.3744355292866226,1.059949105230735
2024-08-01,1.3899955139136764,1.0250131824562816
2024-09-01,1.4217360614738952,1.075074826416712
2024-10-01,1.4504508647074834,1.109068692363732
2024-11-01,1.4360957524994733,1.1106348685009595
2024-12-01,1.5183854752134456,1.1925886152284835
2025-01-01,1.4804410221878617,1.149500388286214
2025-02-01,1.5202003412044414,1.1921008730924125
2025-03-01,1.5009016628507774,1.1241868869614455
2025-04-01,1.4130219482010442,1.052126507642474
2025-05-01,1.4007708238534957,1.0736319734693651
2025-06-01,1.488802098804436,1.1490653559117006
2025-07-01,1.5606922016768536,1.2078515392482592
2025-08-01,1.5966372531130624,1.235813302324413
2025-09-01,1.6293995382239286,1.230474589259745
2025-10-01,1.6827740242989178,1.2924166813875793
2025-11-01,1.7228869840183132,1.3221681136718615
2025-12-01,1.7262465706950636,1.3461257997225766
2026-01-01,1.7225333433154975,1.344645061047898
2026-02-01,1.7479196937676338,1.3651105590627595
2026-03-01,1.7328141837473576,1.3752806326390383
