Date,SP_500,Optimized Portfolio
2024-04-01,1.0,1.0
2024-05-01,0.958385,0.9505199994728101
2024-06-01,1.0044076060850002,1.0170373895593856
2024-07-01,1.0392304177879672,1.0549728842465602
2024-08-01,1.0509955453477446,1.0359200739698826
2024-09-01,1.0749950286257604,1.0865144102007014
2024-10-01,1.0967067032189148,1.1227388005586865
2024-11-01,1.085852596977157,1.1159799130574424
2024-12-01,1.1480730366365453,1.1983280708225708
2025-01-01,1.1193826914509981,1.1642359153383577
2025-02-01,1.149445282843707,1.2091363840645326
2025-03-01,1.134853275331617,1.1402518829728907
2025-04-01,1.0684061625900454,1.0681537566855828
2025-05-01,1.0591429117479465,1.089986819502746
2025-06-01,1.1257046214071522,1.166569293960805
2025-07-01,1.1800617593383143,1.2262509787193372
2025-08-01,1.2072403283038953,1.2546386890804924
2025-09-01,1.2320123619991576,1.2492186498093734
2025-10-01,1.2723695764926732,1.3121043171524223
2025-11-01,1.3026995606931953,1.3423089580373275
2025-12-01,1.3052397923674204,1.366457095680597
2026-01-01,1.302432167885382,1.3649539927007739
2026-02-01,1.321627151589113,1.3857285924695555
2026-03-01,1.3102056587982363,1.3995858784001156
