Date,SP_500,Optimized Portfolio
2021-04-01,1.0,1.0
2021-05-01,1.052425,1.0489899998955772
2021-06-01,1.058199655975,1.089376115046936
2021-07-01,1.0817065031328286,1.102448628546924
2021-08-01,1.1063131626660943,1.0867718088720288
2021-09-01,1.1383851812517845,1.1317098231875269
2021-10-01,1.0842333365648182,1.0962646714680597
2021-11-01,1.1592015663882562,1.1875177428085562
2021-12-01,1.1495407805339766,1.1474033934508439
2022-01-01,1.1996757025954048,1.1808157802529893
2022-02-01,1.1365907557744255,1.120806722047231
2022-03-01,1.1009461330825838,1.095252328649404
2022-04-01,1.1403302791013472,1.1198078862026652
2022-05-01,1.04003024874243,0.9656439339516264
2022-06-01,1.0400853703456134,1.0016817656434063
2022-07-01,0.9528014060662096,0.8679873005216364
2022-08-01,1.0396168589813384,0.8904247719908578
2022-09-01,0.9954955194861703,0.865813431367826
2022-10-01,0.9025202199482399,0.7906954588181068
2022-11-01,0.9745981922739663,0.8737975521094328
2022-12-01,1.0269857689032686,0.9031746257766091
2023-01-01,0.966423391125274,0.8541503069881043
2023-02-01,1.0261029347974329,0.8720105896315625
2023-03-01,0.9993093349640023,0.8626887963691582
2023-04-01,1.0343371257731606,0.887215037663136
2023-05-01,1.0494818899687313,0.877349206462941
2023-06-01,1.0520867040196338,0.9272791500067712
2023-07-01,1.1201861721974165,0.9923926917105655
2023-08-01,1.1550676494134717,1.024350610772479
2023-09-01,1.1346044709364627,0.9958736636778628
2023-10-01,1.0793276757169092,0.9172922047795367
2023-11-01,1.0556040534046516,0.8710321493235597
2023-12-01,1.1497417672832249,0.9855902977649806
2024-01-01,1.2005936959083947,1.038658996544925
2024-02-01,1.2196783332985544,1.0684993563324843
2024-03-01,1.2827613163750888,1.1434118461741707
2024-04-01,1.3225512896477276,1.1795436599954894
2024-05-01,1.2675133177290374,1.1211798396551338
2024-06-01,1.3283805747597037,1.1858241236066718
2024-07-01,1.3744355292866226,1.2311937546169682
2024-08-01,1.3899955139136764,1.1973516787086582
2024-09-01,1.4217360614738952,1.2558303350531625
2024-10-01,1.4504508647074834,1.2955396902948562
2024-11-01,1.4360957524994733,1.2877405406077254
2024-12-01,1.5183854752134456,1.3827629152700858
2025-01-01,1.4804410221878617,1.3279186607470757
2025-02-01,1.5202003412044414,1.3771313261487361
2025-03-01,1.5009016628507774,1.2986761545854886
2025-04-01,1.4130219482010442,1.2165608612753849
2025-05-01,1.4007708238534957,1.2414273650794214
2025-06-01,1.488802098804436,1.3286500515254431
2025-07-01,1.5606922016768536,1.3966237885264077
2025-08-01,1.5966372531130624,1.428955629382171
2025-09-01,1.6293995382239286,1.4227825409220765
2025-10-01,1.6827740242989178,1.4944054147583152
2025-11-01,1.7228869840183132,1.5288066276066954
2025-12-01,1.7262465706950636,1.5563098586424273
2026-01-01,1.7225333433154975,1.5545979175196705
2026-02-01,1.7479196937676338,1.5782588975828082
2026-03-01,1.7328141837473576,1.5940414862951058
