c1,c2,c3,reward,reward1
1.3,0.2,-0.1,0.020951003085778748,0.028781364215959317
1.2,0.2,-0.3,0.025721060778809687,0.030788521283646415
1.2,0.3,-0.5,-0.0014097040141763748,0.008314937260446499
1.3,0.3,-0.1,-0.0005274483374934738,0.008068982602546149
1.1,0.1,-0.3,-0.01807961357134212,-0.012951249729676345
1.3,0.2,-0.3,0.007595427955472495,0.01296352066791482
1.3,0.0,-0.3,0.019824208203596334,0.023170467028122574
1.3,0.0,-0.6,0.015626185872403046,0.020261098740965787
1.0,0.0,-0.1,0.0034694352570221474,0.00913723387956752
1.3,0.0,0.2,-0.004474904888767176,0.0066298839130468695
1.1,0.1,0.0,0.029189614908512684,0.03571256559306443
1.0,0.4,-0.2,-0.01042526664087693,-0.0026481969643933115
1.1,0.2,-0.5,-0.006156580824815122,-4.878272833219732e-05
1.0,0.4,-0.4,-0.028441425709712823,-0.02148182559463551
1.2,-0.1,-0.1,0.007741327281767628,0.012205486372823673
1.1,0.4,-0.6,-0.0558578464018281,-0.04984872007476252
1.0,-0.1,-0.1,0.004285704664962929,0.008637598166021988
1.1,0.0,-0.2,0.005187195887551166,0.010231015992226106
0.9,0.4,-0.5,-0.00835281983229575,-0.0033122592438279107
1.2,-0.1,-0.6,0.02210725651584649,0.025519378350337185
1.3,0.1,-0.6,0.027144391072563417,0.03378486480059615
1.1,0.3,-0.3,-0.0060829746929788875,0.0005935114841633354
0.9,0.5,-0.6,-0.004916843383480925,0.0010120570368898404
1.2,0.3,-0.4,0.012061866539296223,0.01800291843866768
1.3,0.2,-0.5,-0.016960928762688114,-0.007853759952364637
0.9,0.0,0.0,0.005769068356043235,0.011642501853364413
1.2,0.5,-0.2,-0.025976959021818957,-0.01493569011221164
1.2,0.1,-0.1,0.01904307862697039,0.025962317285623877
1.3,0.3,-0.3,-0.015253955019096668,-0.006034202030649076
1.0,0.2,-0.6,-0.0033641194354286294,0.0015129851626599347
