1.3,0.2,-0.1,"{'current': 0.01305871734696031, 'A_nonzero_std': 0.01381876625371077, 'B_MAR_first': 0.015495587670743811, 'C_annual_sigma': 0.009195679245837144, 'D_division': 0.006518705464584923, 'E_adj_lambda': 0.013017198921061478, 'F_sqrt_var': 0.013632082853513142}"
1.2,0.2,-0.3,"{'current': 0.018203837259827146, 'A_nonzero_std': 0.018617034388461105, 'B_MAR_first': 0.019579142341181018, 'C_annual_sigma': 0.015893749410411738, 'D_division': 0.014442564259883509, 'E_adj_lambda': 0.018185417363081477, 'F_sqrt_var': 0.01852281967324727}"
1.2,0.3,-0.5,"{'current': -0.01034947780182486, 'A_nonzero_std': -0.011102172719465944, 'B_MAR_first': -0.009889152555132931, 'C_annual_sigma': -0.0073939959386250306, 'D_division': -0.018669249330759384, 'E_adj_lambda': -0.010403781690071227, 'F_sqrt_var': -0.009502143175516734}"
1.3,0.3,-0.1,"{'current': -0.01444356456560741, 'A_nonzero_std': -0.013587424137072108, 'B_MAR_first': -0.011264111546937834, 'C_annual_sigma': -0.017536348808298134, 'D_division': -0.02469395110871217, 'E_adj_lambda': -0.014522354200655873, 'F_sqrt_var': -0.013490201224235528}"
1.1,0.1,-0.3,"{'current': -0.023020040292324365, 'A_nonzero_std': -0.021883757863447897, 'B_MAR_first': -0.01913064505859422, 'C_annual_sigma': -0.031955493366529544, 'D_division': -0.03221846765376449, 'E_adj_lambda': -0.023096498812379282, 'F_sqrt_var': -0.022326226653822237}"
1.3,0.2,-0.3,"{'current': 0.0033004960248275515, 'A_nonzero_std': 0.003786482617479766, 'B_MAR_first': 0.004959598851119722, 'C_annual_sigma': 0.0019181775796653592, 'D_division': -0.0020765528486211826, 'E_adj_lambda': 0.0032715203206492623, 'F_sqrt_var': 0.0038226183057394406}"
1.3,0.0,-0.3,"{'current': 0.023204020877037476, 'A_nonzero_std': 0.023628138370189466, 'B_MAR_first': 0.024588077502547878, 'C_annual_sigma': 0.018374078736253175, 'D_division': 0.02054808370942446, 'E_adj_lambda': 0.02319084713529015, 'F_sqrt_var': 0.023371181862707077}"
1.3,0.0,-0.6,"{'current': 0.011921996225957007, 'A_nonzero_std': 0.012128675256113313, 'B_MAR_first': 0.013275371823674234, 'C_annual_sigma': 0.010706825653578006, 'D_division': 0.006970156451407538, 'E_adj_lambda': 0.0118941284064576, 'F_sqrt_var': 0.012342153209147153}"
1.0,0.0,-0.1,"{'current': -0.005088355107162703, 'A_nonzero_std': -0.004341785324468257, 'B_MAR_first': -0.002406616045689462, 'C_annual_sigma': -0.010248386462038574, 'D_division': -0.011901354729998013, 'E_adj_lambda': -0.005135470346050213, 'F_sqrt_var': -0.0045489290380934105}"
1.3,0.0,0.2,"{'current': -0.00800298913947799, 'A_nonzero_std': -0.007286409940683917, 'B_MAR_first': -0.005312722937095501, 'C_annual_sigma': -0.008755516197357368, 'D_division': -0.017996624127001162, 'E_adj_lambda': -0.008073906712366165, 'F_sqrt_var': -0.006969382756663477}"
1.1,0.1,0.0,"{'current': 0.016606819924202952, 'A_nonzero_std': 0.017381911349780295, 'B_MAR_first': 0.019002055788395138, 'C_annual_sigma': 0.010548958785741396, 'D_division': 0.011139942453904584, 'E_adj_lambda': 0.016572051940672468, 'F_sqrt_var': 0.017020942040303508}"
1.0,0.4,-0.2,"{'current': -0.010387424369548377, 'A_nonzero_std': -0.009611558350497353, 'B_MAR_first': -0.007726768961700445, 'C_annual_sigma': -0.012808843586153876, 'D_division': -0.018668028781282445, 'E_adj_lambda': -0.01044332399202947, 'F_sqrt_var': -0.009591080429708401}"
