c1,c2,c3,reward,reward1
1.3,0.2,-0.1,0.012461822054693702,0.021491216352589708
1.2,0.2,-0.3,0.007213389477090128,0.013498476969274434
1.2,0.3,-0.5,-0.01031568006280001,-0.0008567665343552711
1.3,0.3,-0.1,-0.008095962331377595,0.0010408495212825102
1.1,0.1,-0.3,-0.02422535461436188,-0.018042089955573357
1.3,0.2,-0.3,0.009247312810434357,0.014663119193846871
1.3,0.0,-0.3,0.020108652005344157,0.02338924475930597
1.3,0.0,-0.6,0.012717524379204313,0.018413689935407682
1.0,0.0,-0.1,0.006702167611606518,0.013273979265796387
1.3,0.0,0.2,0.009446924009070316,0.01878581046821577
1.1,0.1,0.0,0.02106696347038783,0.02656633051686938
1.0,0.4,-0.2,-0.007752852911208536,-0.0008859250371545565
1.1,0.2,-0.5,-0.004481537498171553,0.0007254735283904702
1.0,0.4,-0.4,-0.030180349635839175,-0.02255843404119138
1.2,-0.1,-0.1,0.010593778626146515,0.014979383422672285
1.1,0.4,-0.6,-0.056040599605663474,-0.04994902654053707
1.0,-0.1,-0.1,0.006982690650959819,0.010962540689321253
1.1,0.0,-0.2,-0.005706483186805344,-0.0012489643682414215
0.9,0.4,-0.5,-0.010893964800700217,-0.0058305475333139765
1.2,-0.1,-0.6,0.021834100646525592,0.025480712552910387
1.3,0.1,-0.6,0.028138141670074307,0.034737873433472316
1.1,0.3,-0.3,0.010342693207358906,0.016585131741825427
0.9,0.5,-0.6,-0.005653432638395232,3.846571108506407e-05
1.2,0.3,-0.4,0.010654225334083283,0.01702242658577431
1.3,0.2,-0.5,-0.013989719512011597,-0.004698569277632655
0.9,0.0,0.0,0.011589600900460897,0.01638074478253198
1.2,0.5,-0.2,-0.025606528151932092,-0.016386110271722012
1.2,0.1,-0.1,0.021584990806639063,0.028524830202771214
1.3,0.3,-0.3,-0.00951860956490972,-0.0014312994197462601
1.0,0.2,-0.6,-0.0012888216295074155,0.003771015271678596
