c1,c2,c3,reward,Lambda,MAR
1.2,0.3,0.0,-0.0755773802933514,100.0,-2.950792715799331e-06
1.2,0.3,0.1,-0.09408703239145069,100.0,-2.123031378803371e-05
1.1,0.1,-0.0,-0.041130873647186456,100.0,-2.3611457117928638e-05
1.2,0.1,-0.0,-0.015396849771767182,100.0,-1.3838086290034863e-05
1.2,0.2,0.1,-0.05183669113157653,100.0,-1.0085427186733511e-05
1.1,0.2,-0.1,-0.05861720342585898,100.0,-1.7620552850924112e-05
1.2,0.1,-0.1,0.0009200172561151098,100.0,-1.7029641931621505e-05
1.2,0.2,-0.3,-0.050008292984048755,100.0,-8.306528460662015e-06
1.2,0.2,-0.1,-0.03788534672546642,100.0,-1.6655943555657776e-05
1.2,0.2,-0.0,-0.03211067215691009,100.0,-1.5278609550000635e-05
