c1,c2,c3,reward,Lambda,MAR
1.3,0.0,-0.6,0.02248473281283932,100.0,-1.4788665202400105e-05
1.3,0.2,-0.6,0.0017828746347234611,100.0,-8.21947919387346e-06
1.3,0.1,-0.6,0.018273215329064105,100.0,-1.4480255893070971e-05
1.3,-0.2,-0.5,0.018674449858320466,100.0,-1.0045345452877626e-05
1.3,-0.5,-0.5,0.0262106029289466,100.0,-8.31687483627216e-06
1.3,-0.4,-0.5,0.025599430981438145,100.0,-7.169473131615544e-06
1.3,-0.3,-0.6,0.023467429909270174,100.0,-7.95822847243053e-06
1.3,-0.2,-0.6,0.021953887099067038,100.0,-7.930916436838385e-06
1.2,-0.4,-0.5,0.01936547885687661,100.0,-9.122298196185174e-06
1.3,-0.3,-0.5,0.013236710087334394,100.0,-7.021204426707329e-06
