c1,c2,c3,reward,Lambda,MAR
0.9,0.6,0.3,-0.0367588706032002,100.0,-4.046741511329433e-06
0.7,0.2,0.2,-0.05239898256284672,100.0,-1.3448680038625305e-05
0.8,0.1,0.3,0.01860755622963764,100.0,-1.469315098559458e-05
0.7,0.5,0.2,-0.07472994388918514,100.0,-4.35068389474693e-06
0.7,0.5,-0.0,-0.07048689742447299,100.0,-1.8692602945072284e-05
0.8,0.4,0.4,-0.031887479577112354,100.0,-1.992856408452712e-05
0.7,0.3,0.0,-0.10880010343866403,100.0,-9.602114605179422e-06
0.7,0.5,0.4,-0.05289450908763565,100.0,-2.5019973436587836e-05
0.7,0.6,0.5,0.007613557049809368,100.0,-1.4425412822641328e-05
0.7,0.3,0.2,-0.06610048512801037,100.0,-7.959615445856665e-06
