c1,c2,c3,reward,Lambda,MAR
0.9,-0.2,-0.5,0.0150329962254361,100.0,-1.6246183900477796e-05
0.7,-0.3,-0.5,0.026945124570112753,100.0,-6.33147939238163e-06
0.9,-0.2,-0.4,-0.0015559694873182968,100.0,-8.795292078675724e-06
0.9,-0.3,-0.6,0.061262051424415764,100.0,-6.6501011473109095e-06
0.9,-0.5,-0.5,0.028219552472800922,100.0,-4.160629196691632e-06
0.8,-0.2,-0.4,-0.021951817181722035,100.0,-4.644176496254339e-06
0.9,-0.4,-0.5,0.0337013927715402,100.0,-1.1227247797601624e-05
0.8,-0.2,-0.6,0.03152045910487272,100.0,-3.593410492936748e-06
0.8,-0.3,-0.6,0.02913696584243132,100.0,-8.92860639422487e-06
0.9,-0.4,-0.6,0.0656584413183033,100.0,-8.429895512995728e-06
