c1,c2,c3,reward,Lambda,MAR
1.3,0.3,0.1,-0.20968319659471069,100.0,-1.3656992828419538e-05
1.2,0.4,0.0,-0.2797237770363118,100.0,-4.8000620475677356e-05
1.2,0.2,0.2,-0.19061321918974308,100.0,-6.223746354541544e-05
1.1,0.4,-0.0,-0.3385647695832377,100.0,-4.232304025762614e-05
1.3,0.2,-0.0,-0.11196909344786835,100.0,-7.485011221788733e-05
1.2,0.3,0.1,-0.28851532346389885,100.0,-2.6763625048882133e-05
1.2,0.3,-0.1,-0.15448123530733987,100.0,-6.234290204766552e-05
1.3,0.2,0.3,-0.2617300339114812,100.0,-3.440442562020529e-05
1.3,0.1,0.3,-0.19451314612163076,100.0,-5.788340244277549e-05
1.3,0.2,0.2,-0.17933101649447025,100.0,-4.273305085803277e-05
