c1,c2,c3,reward,return,std
1.0,0.0,0.0,0.7603102654059269,1.066115901003677,0.0799755491842932
0.9,0.0,0.0,0.8406639343961106,1.0506378670692005,0.0772964034084744
1.2,0.0,0.0,0.8350568275947767,1.0621875772441516,0.0801780007583785
1.0,-0.1,0.0,0.8762466780729975,1.056312528731239,0.0761929786507907
1.0,0.2,0.0,0.7082288354662107,1.1121981750845191,0.0969820828973896
1.0,0.0,-0.1,0.8811824872714207,1.0680767856653484,0.0769260906715457
1.0,0.0,0.2,0.6596549057245682,1.020958407366276,0.0882878838251371
0.9,0.0,-0.1,0.8076965376566241,1.0732576053227296,0.0748364603406356
1.2,0.0,-0.1,0.7720170555731063,1.0887238600488642,0.0801477817046718
1.0,-0.1,-0.1,0.9881357746546052,1.075119860349453,0.0714517170713646
1.0,0.2,-0.1,0.7649702917286468,1.1030535848970375,0.0859341097205103
1.0,0.0,-0.2,0.8151062087560126,1.1100749127254783,0.0818602499486131
1.0,0.0,0.1,0.7090628040591525,1.0383069632542146,0.0819230791607034
0.9,-0.1,-0.1,0.8817184371697313,1.0470867732702576,0.0717261437758748
1.2,-0.1,-0.1,0.7342724810738858,1.0711383823730078,0.0814342694630239
1.0,-0.2,-0.1,0.9514334503409652,1.0901946177112287,0.0770025070589947
1.0,0.1,-0.1,0.771172057195446,1.0724827863316948,0.0796160032535405
1.0,-0.1,-0.2,0.8681901757771773,1.097340815221195,0.0741182779064876
1.0,-0.1,0.1,0.8118800594597171,1.0520987932647623,0.0813887892488392
1.1,-0.1,-0.1,0.8021958522462908,1.0547469202672974,0.072140682920001
0.9,0.1,0.0,0.7942509325102892,1.0539694178347248,0.0837168810404329
1.1,0.0,0.1,0.7151254668987358,1.039123799512117,0.0824340179747037
1.1,0.0,0.0,0.7274126578703188,1.0528993372717013,0.0801338025280459
1.2,0.1,0.1,0.7500943839004225,1.0429881971238046,0.0836994350624512
1.1,0.1,0.0,0.752822542017587,1.0766494830885516,0.0834174503585762
1.0,0.1,0.1,0.6920463679699076,1.0353863938039771,0.0823176403038836
1.2,0.0,0.1,0.7413600713338985,1.0319148099129078,0.0850135000062641
1.2,0.1,0.0,0.8429341293205564,1.0612888577013804,0.0788355515992326
1.1,0.1,0.1,0.749101569053008,1.036654108397618,0.0850813160229917
1.0,0.1,0.0,0.779145268219179,1.054538466898416,0.0850370328667692
0.9,0.1,0.1,0.6744169993102783,1.0393477668899,0.0850990744931698
0.9,0.0,0.1,0.8104609924706471,1.0565028104836551,0.083949351990658
0.9,-0.2,-0.1,0.9293501902667403,1.0641491454826646,0.07300497365554949
1.1,-0.0,-0.2,0.803082906584125,1.096786943835559,0.07930870152524754
1.1,-0.2,-0.0,0.9084204326584833,1.060071378804032,0.07524826148030658
1.1,-0.2,-0.1,0.8865334023462821,1.0860215146355992,0.07302987072742029
0.9,-0.2,-0.2,0.9265631277928078,1.0672105686142404,0.07326281932632728
0.9,-0.1,-0.0,0.8919188369757739,1.0528660929646818,0.07419464540330024
1.0,-0.2,-0.0,0.9341745968513541,1.064689933971842,0.07390637918853993
1.1,-0.1,-0.2,0.7442652404908192,1.053275755125733,0.07691143761152122
0.9,-0.1,-0.2,0.8603462867535993,1.0847165943310941,0.0735404905174636
0.9,-0.2,-0.0,0.8952366717899884,1.0758610107367648,0.07873723821046345
0.9,-0.0,-0.2,0.8385950827348726,1.0946282233637548,0.07586228826587858
1.1,-0.1,-0.0,0.8255912433695445,1.0452261673480858,0.07844357637163789
1.1,-0.0,-0.1,0.7592602274482005,1.062091503890713,0.07776103614745974
1.0,-0.2,-0.2,0.8674007027800197,1.1299112197554901,0.08477222254541131
1.1,-0.2,-0.2,0.9373267717554925,1.1024350961524279,0.07286585480521986
