c1,c2,c3,reward,return,std
1.0,0.0,0.0,1.1353130411980519,1.5489016139390852,0.15378658457728483
0.9,0.0,0.0,1.1174368659735565,1.5211018138191346,0.1455019658010962
1.2,0.0,0.0,0.8915390924807343,1.742249970476854,0.1990412326222059
1.0,-0.1,0.0,0.9956457862702631,1.5288958988480241,0.15125902472848599
1.0,0.2,0.0,1.0332536043067448,1.5621056125525952,0.14788153242609237
1.0,0.0,-0.1,1.0699451860329425,1.5771883904484636,0.16105499025769296
1.0,0.0,0.2,0.9676771434978629,1.4256652895440576,0.12038937186968593
0.8,0.1,0.0,1.187334596137079,1.4634253310905772,0.12558562184432454
1.1,0.1,0.0,1.037328035388199,1.6357818981187755,0.16752581571395006
0.9,0.3,0.0,1.098032898456436,1.5851809237887633,0.14897926753991045
0.9,0.1,-0.1,1.0841456497635105,1.5683645491314189,0.15724060393845504
0.9,0.1,0.2,1.0617084375698418,1.389175068188151,0.10952795562746594
0.7,0.1,0.0,1.3428504389365048,1.3926528214026992,0.111258124505371
1.0,0.1,0.0,1.0496879349896644,1.5359982175829332,0.14362178306162723
0.8,0.0,0.0,1.238270165917194,1.453895663632845,0.12770227909168214
0.8,0.3,0.0,1.1880770187977432,1.5010929057994538,0.13091172060658138
0.8,0.1,-0.1,1.385295071145316,1.4751261714279689,0.13239098310996075
0.8,0.1,0.2,1.1450598586220202,1.314594984247771,0.09133631074224716
0.7,0.1,-0.1,1.3726853794722973,1.5205757466830379,0.13941950036029155
1.0,0.1,-0.1,1.0882446312916507,1.6882438750471351,0.18605935500214155
0.8,0.0,-0.1,1.2699881034623055,1.5141493378721287,0.14829019308456337
0.8,0.3,-0.1,1.1967684423803164,1.5357497909712454,0.14204800259271816
0.8,0.1,-0.2,1.4366786771940503,1.5621039298995438,0.15988311776216793
0.8,0.1,0.1,1.0905911420051604,1.3946647132055836,0.10848116631024236
0.7,0.1,-0.2,1.6239931069784825,1.5678275530340535,0.1584518757983795
1.0,0.1,-0.2,1.1746321966535087,1.721811034326565,0.1977245129131903
0.8,0.0,-0.2,1.5058504931786143,1.5414731526196224,0.15873520848832978
0.8,0.3,-0.2,1.3812896979101774,1.6472851841311436,0.17357188361558948
0.8,0.1,-0.3,1.6333394161422616,1.6379098856889818,0.1813415755347766
0.7,0.1,-0.3,1.824162286326222,1.6311978206895619,0.18087097011037312
1.0,0.1,-0.3,1.140185714745418,1.7248438737310152,0.20114178438964353
0.8,0.0,-0.3,1.5210206167324256,1.6841323382251283,0.198693176760063
0.8,0.3,-0.3,1.561696161927158,1.7264525429550805,0.19605442365978554
0.8,0.1,-0.4,1.613383668560219,1.6957654499435635,0.20356501222413215
0.9,0.1,-0.3,1.332166320437248,1.6745169186083873,0.1920834565696058
0.7,0.0,-0.3,1.6553355632235245,1.5783882592871727,0.1754874084353489
0.7,0.3,-0.3,1.5846270091990422,1.6825960127250454,0.18508920989970928
0.7,0.1,-0.4,1.8601009891760079,1.6575897551620054,0.1948812776535109
0.9,0.1,-0.4,1.3591823198696324,1.7749898706904566,0.22250809040951175
0.7,0.0,-0.4,1.7252540741451503,1.721689774442696,0.21586732473029677
0.7,0.3,-0.4,1.5789662996814253,1.7265456732845104,0.20416254394953143
0.7,0.1,-0.5,1.5929386566280395,1.7624472914799219,0.2201962895129892
