Date,SP_500,Optimized Portfolio
2019-04-01,1.0,1.0
2019-05-01,1.039313,1.0370500001238767
2019-06-01,0.9709490694859999,0.9966880141639736
2019-07-01,1.0378765888456698,1.0565490963089004
2019-08-01,1.0515018327040357,1.0774793338635797
2019-09-01,1.0324780615467544,1.0933829288805939
2019-10-01,1.050217067122189,1.0839032990661206
2019-11-01,1.0716751022376296,1.107803366884124
2019-12-01,1.1081624244435142,1.1637031249788463
2020-01-01,1.1398447881583542,1.181216857096774
2020-02-01,1.1379891208432324,1.2261188063448156
2020-03-01,1.0422728558891081,1.1378259911589088
2020-04-01,0.9118647184331188,1.0820270047729657
2020-05-01,1.0275292867780492,1.181465286616863
2020-06-01,1.0740578679419328,1.2649121801178949
2020-07-01,1.0938076440176492,1.301809668206662
2020-08-01,1.1540775390106657,1.4119688023328187
2020-09-01,1.234937981781448,1.5421523259324428
2020-10-01,1.1864938346321254,1.477971647271056
2020-11-01,1.153668296203193,1.4212964275053142
2020-12-01,1.2777407067866615,1.6265742695163807
2021-01-01,1.325171719563289,1.6996725169603706
2021-02-01,1.3104132821225127,1.6134697103087794
2021-03-01,1.3446032750663712,1.5759309294205524
2021-04-01,1.4016668934569128,1.568054998639564
2021-05-01,1.4751492803463913,1.644874013049868
2021-06-01,1.483243424447652,1.6969507243237074
2021-07-01,1.516192193878332,1.7706662633854453
2021-08-01,1.5506825339046764,1.7508688540491049
2021-09-01,1.595636820562573,1.8171567490240041
2021-10-01,1.5197339726452321,1.7443977928997845
2021-11-01,1.6248144584498143,1.8567544549601895
2021-12-01,1.6112732547530937,1.7976539611297837
2022-01-01,1.6815457152126403,1.896560882195133
2022-02-01,1.5931216337781837,1.8352261035697066
2022-03-01,1.543159746221266,1.806266235528905
2022-04-01,1.5983631998228396,1.8551618625540784
2022-05-01,1.4577759678560223,1.6555649976315747
2022-06-01,1.4578532299823188,1.7056292829006683
2022-07-01,1.3355101869222026,1.5331824217381216
2022-08-01,1.457196533113806,1.6179674095321401
2022-09-01,1.395353112248456,1.5683928880579678
2022-10-01,1.265032712976899,1.4615225963351979
2022-11-01,1.3660620205333731,1.580052078694872
2022-12-01,1.4394919523231033,1.630834952731465
2023-01-01,1.3546036724026576,1.5693524747939642
2023-02-01,1.4382545129845388,1.6070012406857457
2023-03-01,1.4006988111414864,1.5721588364061767
2023-04-01,1.4497961058696178,1.592293938803917
2023-05-01,1.4710240204517608,1.636018330240811
2023-06-01,1.4746751020705222,1.681805466435271
2023-07-01,1.5701278720773428,1.7759193004179552
2023-08-01,1.6190200838859592,1.8207967811403172
2023-09-01,1.5903375240798356,1.8002217775951581
2023-10-01,1.5128578702441902,1.6787428121749006
2023-11-01,1.4796052542562228,1.5914817603205056
2023-12-01,1.6115549712255384,1.723495171586284
2024-01-01,1.6828324360478728,1.7362299389033549
2024-02-01,1.7095827404512896,1.7870667516768082
2024-03-01,1.7980040693701704,1.9044234245697447
2024-04-01,1.8537763575979636,1.966088654693966
2024-05-01,1.7766314544765245,1.9145181492053425
2024-06-01,1.861947073551942,2.007046810999501
2024-07-01,1.9265007785919877,2.1103328935152588
2024-08-01,1.9483106939064274,2.057055750652916
2024-09-01,1.9928003686017806,2.143122963418151
2024-10-01,2.0330489576464306,2.183970887012992
2024-11-01,2.012927872112604,2.1801732330276447
2024-12-01,2.128270652112528,2.34104821617258
2025-01-01,2.075085168516236,2.208263960557805
2025-02-01,2.130814489688168,2.2708019959739936
2025-03-01,2.1037641711523634,2.199044652746493
2025-04-01,1.9805860845213918,2.064133262777167
2025-05-01,1.9634140891158094,2.100936759237466
2025-06-01,2.086804612803345,2.2341781686220927
2025-07-01,2.1875705899668247,2.338173267713137
2025-08-01,2.2379535785485642,2.39653407327385
2025-09-01,2.283875388942462,2.3416381707470793
2025-10-01,2.358688639029051,2.4232676773570576
2025-11-01,2.414913646666298,2.4796571162061034
2025-12-01,2.419622668086798,2.4518353633892542
2026-01-01,2.414417960200982,2.4580691692796197
2026-02-01,2.4500011671754365,2.4796510165971473
2026-03-01,2.428828273871234,2.478237616234053
2026-04-01,2.3026052560961796,2.3772551479016406
