Date,SP_500,Optimized Portfolio
2019-08-01,1.0,1.0
2019-09-01,0.981908,1.0147599999709493
2019-10-01,0.9987781613479999,1.005962030806921
2019-11-01,1.0191851967406622,1.0264836561986153
2019-12-01,1.0538853951340914,1.078280021428313
2020-01-01,1.0840159785809749,1.100923901852404
2020-02-01,1.082251200567845,1.145565837980682
2020-03-01,0.9912230520880836,1.0630736418651463
2020-04-01,0.8672022150338746,1.0109405104834006
2020-05-01,0.9772016127976314,1.1038459432346703
2020-06-01,1.0214512562283338,1.1818105820870026
2020-07-01,1.0402337019278605,1.219439431044993
2020-08-01,1.0975516191377876,1.329737727960755
2020-09-01,1.1744515733326768,1.4665973889400954
2020-10-01,1.1283801870139825,1.4129986213873427
2020-11-01,1.0971624207600537,1.308850458622498
2020-12-01,1.2151578504631142,1.4978877302300915
2021-01-01,1.2602657250301554,1.6046272094481884
2021-02-01,1.2462301456504947,1.5306941508419176
2021-03-01,1.278745536380662,1.4946769175413372
2021-04-01,1.3330142181991207,1.4562188801391496
2021-05-01,1.4028974885882095,1.4961920884016384
2021-06-01,1.410595187108093,1.4835679778439967
2021-07-01,1.4419301485945122,1.5393501339410642
2021-08-01,1.47473117561474,1.5213551308517008
2021-09-01,1.5174836323958114,1.564211704659995
2021-10-01,1.445298453486375,1.4844369077969006
2021-11-01,1.545232169754237,1.5422557252460836
2021-12-01,1.5323542048515053,1.509652439041905
2022-01-01,1.5991847687876939,1.5535531321972622
2022-02-01,1.515091637720993,1.5033112238276924
2022-03-01,1.467576848870425,1.4795889727416731
2022-04-01,1.5200764754850669,1.519641446249672
2022-05-01,1.386375108930827,1.356143223067316
2022-06-01,1.3864485868116003,1.4067544880475822
2022-07-01,1.2700978214063707,1.2703977753815163
2022-08-01,1.3858240545016336,1.3469773534281133
2022-09-01,1.3270096816285841,1.3057059674048952
2022-10-01,1.2030722854032008,1.204579040369648
2022-11-01,1.2991532473323566,1.3214713896428307
2022-12-01,1.3689866318362127,1.363943479958869
2023-01-01,1.2882561211701995,1.3125228108003624
2023-02-01,1.3678098014208229,1.3402432926425165
2023-03-01,1.3320935518861223,1.313920914155012
2023-04-01,1.3787860950668347,1.3298981922979474
2023-05-01,1.3989742810708032,1.3664171966756182
2023-06-01,1.402446535236421,1.3404689341270837
2023-07-01,1.493224094569204,1.4154815754655885
2023-08-01,1.5397215996499944,1.4512507947465663
2023-09-01,1.5124438917905951,1.4348371482734454
2023-10-01,1.4387591378264493,1.3380430342686087
2023-11-01,1.407135211977024,1.2883850298249744
2023-12-01,1.532622123045923,1.3953081031336518
2024-01-01,1.6004084669261212,1.4140388420008678
2024-02-01,1.6258485599163786,1.4739516681628815
2024-03-01,1.7099390732838133,1.568992151726353
2024-04-01,1.7629796733980039,1.6299945666762388
2024-05-01,1.689613274289546,1.5873376087936786
2024-06-01,1.7707501933342045,1.6643393562453224
2024-07-01,1.8321421025371012,1.760900038975457
2024-08-01,1.8528837832799236,1.6944436716210745
2024-09-01,1.8951943844711205,1.7654916954959248
2024-10-01,1.9334716254542839,1.7990890024023836
2024-11-01,1.9143360567771628,1.7877367504878652
2024-12-01,2.024029427166551,1.917365541977201
2025-01-01,1.973448931781659,1.8522901553660815
2025-02-01,2.0264486693366743,1.9011491487003171
2025-03-01,2.0007232566987887,1.8415291119619481
2025-04-01,1.8835783475794128,1.7118670466169605
2025-05-01,1.8672474246352053,1.74256082324872
2025-06-01,1.9845943657910046,1.8697677632745597
2025-07-01,2.080424895067735,1.9597596860462978
2025-08-01,2.1283401597061,2.0096551674362297
2025-09-01,2.172012751579578,1.9762378359767825
2025-10-01,2.24316170040661,2.0451294870540844
2025-11-01,2.2966328460466126,2.093087773606218
2025-12-01,2.301111222853993,2.0693940199676706
2026-01-01,2.2961614379616253,2.0534530188287476
2026-02-01,2.330001804062509,2.0319533658981035
2026-03-01,2.3098659444323313,2.030429400797966
2026-04-01,2.1898252427908895,2.0386179506152917
2026-05-01,2.4198723882647544,2.2114927536076507
2026-06-01,2.5472199152235016,2.3818882692843424
2026-07-01,2.514524397329016,2.3528292324934945
2026-08-01,2.5153998694868496,2.3173956248212955
