Date,Adj Close
12/1/2019,1668.469971
1/1/2020,1614.060059
2/1/2020,1476.430054
3/1/2020,1153.099976
4/1/2020,1310.660034
5/1/2020,1394.040039
6/1/2020,1441.369995
7/1/2020,1480.430054
8/1/2020,1561.880005
9/1/2020,1507.689941
10/1/2020,1538.47998
11/1/2020,1819.819946
12/1/2020,1974.859985
1/1/2021,2073.639893
2/1/2021,2201.050049
3/1/2021,2220.52002
4/1/2021,2266.449951
5/1/2021,2268.969971
6/1/2021,2310.550049
7/1/2021,2226.25
8/1/2021,2273.77002
9/1/2021,2204.370117
10/1/2021,2297.189941
11/1/2021,2198.909912
12/1/2021,2245.310059
1/1/2022,2028.449951
2/1/2022,2048.090088
3/1/2022,2070.129883
4/1/2022,1864.099976
5/1/2022,1864.040039
6/1/2022,1707.98999
7/1/2022,1885.22998
8/1/2022,1844.119995
9/1/2022,1664.719971
10/1/2022,1846.859985
11/1/2022,1886.579956
12/1/2022,1761.25
1/1/2023,1931.939941
2/1/2023,1896.98999
3/1/2023,1802.47998
4/1/2023,1768.98999
5/1/2023,1749.650024
6/1/2023,1888.72998
7/1/2023,2003.180054
8/1/2023,1899.680054
9/1/2023,1785.099976
10/1/2023,1662.280029
11/1/2023,1809.02002
12/1/2023,2027.069946
1/1/2024,1947.339966
