c1,c2,c3,reward,Lambda,MAR
1.3,0.2,-0.1,0.009845835135638656,4.340651392924199e-05,-0.0028907003966628943
1.2,0.2,-0.3,0.01827884974107205,4.340651392924199e-05,-0.0028907003966628943
1.2,0.3,-0.5,-0.003695552039299063,4.340651392924199e-05,-0.0028907003966628943
1.3,0.3,-0.1,-0.011441872053868842,4.340651392924199e-05,-0.0028907003966628943
1.1,0.1,-0.3,-0.02329293061099286,4.340651392924199e-05,-0.0028907003966628943
1.3,0.2,-0.3,0.0051734521099400495,4.340651392924199e-05,-0.0028907003966628943
1.3,0.0,-0.3,0.020914767874233697,4.340651392924199e-05,-0.0028907003966628943
1.3,0.0,-0.6,0.009867185640348216,4.340651392924199e-05,-0.0028907003966628943
1.0,0.0,-0.1,0.0024081912145789593,4.340651392924199e-05,-0.0028907003966628943
1.3,0.0,0.2,-0.00828680213452566,4.340651392924199e-05,-0.0028907003966628943
1.1,0.1,0.0,0.017489335297952425,4.340651392924199e-05,-0.0028907003966628943
