1.3,0.2,-0.1,0.022554144297502014,4.340651392924199e-05,-0.003038769031176988
1.2,0.2,-0.3,0.02763600915398498,4.340651392924199e-05,-0.0024117983075491577
1.2,0.3,-0.5,0.004105012923289109,4.340651392924199e-05,-0.002901851883076793
1.3,0.3,-0.1,0.001825750557714438,4.340651392924199e-05,-0.0030950890420671597
1.1,0.1,-0.3,-0.016052349100574882,4.340651392924199e-05,-0.0028961425526282457
1.3,0.2,-0.3,0.012860367490411256,4.340651392924199e-05,-0.0023680011391266327
1.3,0.0,-0.3,0.02015421918869833,4.340651392924199e-05,-0.002151672394300807
1.3,0.0,-0.6,0.02141850016646971,4.340651392924199e-05,-0.002282389798351394
1.0,0.0,-0.1,0.005442931812870849,4.340651392924199e-05,-0.0025491680836777874
1.3,0.0,0.2,0.013448676619772223,4.340651392924199e-05,-0.0032776376552078046
1.1,0.1,0.0,0.01795929904242636,4.340651392924199e-05,-0.002930766635980926
1.0,0.4,-0.2,-0.00021632401108585394,4.340651392924199e-05,-0.002866526746786141
1.1,0.2,-0.5,-0.0002913466570481915,4.340651392924199e-05,-0.002434898120428675
1.0,0.4,-0.4,-0.02265934931948315,4.340651392924199e-05,-0.002862090322712409
1.2,-0.1,-0.1,0.016785078534583327,4.340651392924199e-05,-0.002597272295858078
1.1,0.4,-0.6,-0.048536062395519164,4.340651392924199e-05,-0.003552470046059644
1.0,-0.1,-0.1,0.013002257567389375,4.340651392924199e-05,-0.0020912365693612003
1.1,0.0,-0.2,-0.0025377235813123463,4.340651392924199e-05,-0.0025858100690313002
0.9,0.4,-0.5,-0.002637713339600412,4.340651392924199e-05,-0.002779213037437254
1.2,-0.1,-0.6,0.024798290742518353,4.340651392924199e-05,-0.001933564942406875
1.3,0.1,-0.6,0.035570640642889756,4.340651392924199e-05,-0.002696563341990383
1.1,0.3,-0.3,0.007146445222004196,4.340651392924199e-05,-0.0026773663996999815
0.9,0.5,-0.6,0.0005614078337151677,4.340651392924199e-05,-0.0030392720089929288
1.2,0.3,-0.4,0.01816255581357815,4.340651392924199e-05,-0.0026404255171029963
1.3,0.2,-0.5,-0.008030708423569968,4.340651392924199e-05,-0.00304877351574979
0.9,0.0,0.0,0.01801186474580053,4.340651392924199e-05,-0.002206895264174504
1.2,0.5,-0.2,-0.013634323748553695,4.340651392924199e-05,-0.003311518063810993
1.2,0.1,-0.1,0.02198694590050508,4.340651392924199e-05,-0.002735257446850896
1.3,0.3,-0.3,-0.0031568985895969568,4.340651392924199e-05,-0.0028907003966628943
