c1,c2,c3,reward,Lambda,MAR
1.3,0.2,-0.1,0.021414081063097497,2.977576639593674e-06,-0.0030180499981487937
1.2,0.2,-0.3,0.02519357446069202,1.8492524215836035e-06,-0.002451783880136866
1.2,0.3,-0.5,-0.00042675935598453745,5.498540846179379e-06,-0.0028590752824974998
1.3,0.3,-0.1,0.0007432819686504094,4.979228427693132e-06,-0.0030736542237253155
1.1,0.1,-0.3,-0.009440126554097237,5.400895450084745e-06,-0.0026780721784392305
1.3,0.2,-0.3,0.007707296302901623,3.1204800104299024e-06,-0.002388442700112772
1.3,0.0,-0.3,0.024594192679507937,1.3248481018444731e-06,-0.0021496372373718503
1.3,0.0,-0.6,0.0215180455664744,2.6860417728475997e-06,-0.002265568210205577
1.0,0.0,-0.1,0.001880782744808981,4.4520882980179815e-06,-0.0025423111929658883
1.3,0.0,0.2,0.011844839838951753,4.473752434866113e-06,-0.003143124272295889
1.3,0.2,-0.1,0.022103108169501312,3.225683644711433e-06,-0.0030265401787289534
1.2,0.2,-0.3,0.02954559613117019,1.5796100572045384e-06,-0.0024866417498761793
1.2,0.3,-0.5,0.009531258827314947,5.0665262737436174e-06,-0.002906371722241163
1.3,0.3,-0.1,0.0022705239087039792,5.5082987395257856e-06,-0.0031630358982238835
1.1,0.1,-0.3,-0.009088685389487185,5.4005826704712405e-06,-0.002725851435539915
1.3,0.2,-0.3,0.0139269108575737,2.572517915867828e-06,-0.0023627495749378256
1.3,0.0,-0.3,0.02542713150422992,1.2661445760105798e-06,-0.0020701323273539835
1.3,0.0,-0.6,0.018631483305748285,2.7541941397420752e-06,-0.0022840431962267366
1.0,0.0,-0.1,0.01295489234431732,3.4705515111297373e-06,-0.0023993779210898882
1.3,0.0,0.2,0.0020062751239612988,6.074386743869457e-06,-0.0034409393889292005

