Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1999-12-01,1469.25,1473.0999755859375,1387.3800048828125,1388.9100341796875,19640690000
2000-01-01,1394.4599609375,1478.0,1350.1400146484375,1469.25,21494400000
2000-02-01,1366.4200439453125,1444.550048828125,1325.0699462890625,1394.4599609375,20912000000
2000-03-01,1498.5799560546875,1552.8699951171875,1346.6199951171875,1366.4200439453125,26156200000
2000-04-01,1452.4300537109375,1527.18994140625,1339.4000244140625,1498.5799560546875,20106460000
2000-05-01,1420.5999755859375,1481.510009765625,1361.0899658203125,1452.4300537109375,19898300000
2000-06-01,1454.5999755859375,1488.9300537109375,1420.5999755859375,1420.5999755859375,21738300000
2000-07-01,1430.8299560546875,1517.3199462890625,1413.8900146484375,1454.5999755859375,19089100000
2000-08-01,1517.6800537109375,1525.2099609375,1425.4300537109375,1430.8299560546875,20363700000
2000-09-01,1436.510009765625,1530.0899658203125,1419.43994140625,1517.6800537109375,20838300000
2000-10-01,1429.4000244140625,1454.8199462890625,1305.7900390625,1436.52001953125,25951400000
2000-11-01,1314.949951171875,1438.4599609375,1294.9000244140625,1429.4000244140625,20532300000
2000-12-01,1320.280029296875,1389.050048828125,1254.0699462890625,1314.949951171875,23610800000
2001-01-01,1366.010009765625,1383.3699951171875,1274.6199951171875,1320.280029296875,27829800000
2001-02-01,1239.93994140625,1376.3800048828125,1215.43994140625,1366.010009765625,21644400000
2001-03-01,1160.3299560546875,1267.4200439453125,1081.18994140625,1239.93994140625,27806610000
2001-04-01,1249.4599609375,1269.300048828125,1091.989990234375,1160.3299560546875,25409990000
2001-05-01,1255.8199462890625,1315.9300537109375,1232.0,1249.4599609375,24525900000
2001-06-01,1224.3800048828125,1286.6199951171875,1203.030029296875,1255.8199462890625,24748030000
2001-07-01,1211.22998046875,1239.780029296875,1165.5400390625,1224.4200439453125,23793710000
2001-08-01,1133.5799560546875,1226.27001953125,1124.8699951171875,1211.22998046875,23359200000
2001-09-01,1040.93994140625,1155.4000244140625,944.75,1133.5799560546875,25025290000
2001-10-01,1059.780029296875,1110.6099853515625,1026.760009765625,1040.93994140625,29951280000
2001-11-01,1139.449951171875,1163.3800048828125,1054.31005859375,1059.780029296875,26330000000
2001-12-01,1148.0799560546875,1173.6199951171875,1114.530029296875,1139.449951171875,25128570000
2002-01-01,1130.199951171875,1176.969970703125,1081.6600341796875,1148.0799560546875,29746200000
2002-02-01,1106.72998046875,1130.199951171875,1074.3599853515625,1130.199951171875,26047600000
2002-03-01,1147.3900146484375,1173.93994140625,1106.72998046875,1106.72998046875,26563200000
2002-04-01,1076.9200439453125,1147.8399658203125,1063.4599609375,1147.3900146484375,28568900000
2002-05-01,1067.1400146484375,1106.5899658203125,1048.9599609375,1076.9200439453125,26905500000
