c1,c2,c3,reward,Lambda,MAR
1.3,-0.3,-0.6,0.01798869803526901,100.0,-9.216146845336351e-06
1.3,-0.4,-0.6,0.014452231784703149,100.0,-1.1549619711088836e-05
1.3,-0.2,-0.5,0.033183258481849484,100.0,-1.2373872323924242e-05
1.3,-0.4,-0.4,0.022403025920368747,100.0,-7.373750876676027e-06
1.3,-0.3,-0.4,0.019832820683278865,100.0,-7.902724125099287e-06
1.0,-0.4,-0.6,0.015334273907473401,100.0,-9.865919603692365e-06
1.3,-0.3,-0.5,0.034155961696436185,100.0,-1.1872805448406408e-05
1.2,-0.2,-0.6,0.0016250261429514735,100.0,-8.560745014953966e-06
1.3,0.0,-0.6,0.033820585491761444,100.0,-1.2284274643897695e-05
1.3,0.0,-0.5,-0.010504455170275064,100.0,-8.148963815270777e-06
