c1,c2,c3,reward,Lambda,MAR
1.3,-0.4,-0.0,-0.16882090293279234,100.0,-4.1648628499178e-05
1.1,-0.3,0.2,-0.1732403095297684,100.0,-3.6772223332419364e-05
1.2,-0.5,-0.2,-0.05663474111425078,100.0,-4.148744779176107e-05
1.1,-0.5,-0.1,-0.1374838729722182,100.0,-1.824427889985354e-05
1.0,-0.4,0.0,-0.08488659543170118,100.0,-3.0064770085383955e-05
0.9,-0.4,-0.1,-0.1209709742237118,100.0,-2.797192049096784e-05
1.3,-0.6,-0.3,-0.1197901334671238,100.0,-3.3499829461027944e-05
1.1,-0.5,-0.3,-0.159784612680349,100.0,-3.29365049977038e-05
0.9,-0.4,0.0,-0.14663539606132348,100.0,-3.4152360183177454e-05
1.1,-0.5,-0.2,-0.18050879184391352,100.0,-3.847872542803696e-05
