c1,c2,c3,reward,Lambda,MAR
1.2,0.1,-0.1,-0.12912822949056674,100.0,-3.5778275689428394e-05
0.9,-0.3,-0.3,-0.0423899570940969,100.0,-2.768511288737452e-05
0.9,0.0,0.0,-0.028378942012086975,100.0,-1.3546427012405584e-05
0.9,-0.2,-0.2,-0.07261536504097116,100.0,-1.2752868519976118e-05
0.8,-0.2,0.0,-0.021352765176235917,100.0,-1.8092546608686637e-05
0.9,-0.3,-0.2,-0.04116013201417983,100.0,-1.5325023940078943e-05
1.0,-0.4,-0.1,-0.02542772078737223,100.0,-1.5142350903804245e-05
1.0,-0.5,-0.1,-0.0111193916634471,100.0,-1.279496561837597e-05
1.0,-0.4,0.0,-0.034830474283135154,100.0,-1.2346125152289907e-05
1.1,-0.4,0.0,-0.05421695235030653,100.0,-1.603645172764624e-05
