c1,c2,c3,reward,return,std
1.0,0.0,0.0,-0.5430817409681433,1.314225818569755,0.05745693136441856
0.9,0.0,0.0,-0.6686889767711488,1.2782774723479706,0.056324871587294045
1.1,0.0,0.0,-0.20736661615585827,1.3844512273760754,0.058035457510440126
1.0,-0.1,0.0,-0.5112607229336906,1.2873749649845843,0.061661543562901606
1.0,0.1,0.0,-0.5878584153328611,1.2979322760470087,0.0543287254003666
1.0,0.0,-0.1,-0.347683397217828,1.365908313662213,0.053080046256647015
1.0,0.0,0.1,-0.5460874371269576,1.3006341918526922,0.05680977641422781
1.2,-0.1,0.0,-0.07426789787086006,1.4055093065529987,0.061963480801254994
1.1,-0.1,0.0,-0.43063209882356995,1.3070666553658323,0.06066056176764515
1.3,-0.1,0.0,0.18471804781295567,1.479496602511722,0.05720756773658277
1.2,-0.2,0.0,-0.17056090203377194,1.39508836421452,0.058764649011814565
1.2,0.0,0.0,-0.13868216992871443,1.382189238423303,0.06355816714171808
1.2,-0.1,-0.1,-0.19379224482664278,1.407603728835503,0.05711696113717721
1.2,-0.1,0.1,0.08143672592592459,1.4545304785824635,0.057626392770840376
1.3,-0.1,0.1,-0.12111939320923319,1.3980204175032491,0.060982149398933545
1.3,-0.2,0.0,-0.18522403428816334,1.3884648595798097,0.05891069193313482
1.3,0.0,0.0,0.6485502361430222,1.5722545680156872,0.05894964860856851
1.3,-0.1,-0.1,0.1661721981156741,1.4722877163220842,0.061724530503188144
1.3,0.1,0.0,0.3173102255355121,1.5184742545784513,0.05939188146412978
1.3,0.0,-0.1,0.1715347426256345,1.4741866427841162,0.06315359063978382
1.3,0.0,0.1,-0.06959190936474899,1.4204306454633164,0.05788027074448187
1.2,0.0,0.1,-0.28769482999457086,1.3708444388477277,0.059697281961790964
1.2,0.1,0.0,-0.06806831179467027,1.4153367354117947,0.05930784858890044
1.3,0.1,-0.1,-0.2283585117229605,1.3741282842229343,0.060360130967803766
1.3,0.1,0.1,0.384879629520316,1.5168940883212418,0.059048379046913964
1.2,0.1,-0.1,-0.13560616180285218,1.3936701773703546,0.06059517423800334
1.2,0.0,-0.1,0.34249087397023575,1.5038848453899736,0.058198082347440665
1.2,0.1,0.1,-0.1271342744073667,1.3977450929036375,0.059592588596173966
